Sheet: Sheet1
CH-ELS-012 7582 | Giftshop Rx ONE Pharmacy Department Code Red | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-11-15
ECLS-012 4830 | Department Code RED Safety and Response Plan for Mid City Pharmacy | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-11-14
ECLS-012 7073 | O'Donovan Pharmacy Department Code RED | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-11-30
OC060 | Controlled Substance Monitoring | Controlled Substance | Operational | Thomas Greene | Sr. Director of Pharmacy | 2025-05-15
PH.2401 | Prescription Processing and Dispensing | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-10-24
PH.2402 | Non-Sterile Prescription Compounding | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-08-30
PH.2403 | Pharmacy Patient Assistance Program | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-08-30
Ph.2405 | Hazardous Materials SPS | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-10-25
PH.2406 | Payment Handling | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-10-12
PH.2407 | Controlled Substances and Drugs of Concern | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-08-30
PH.2408 | Expired Medication and Medication Returned to Stock | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-08-22
PH.2409 | Drug Ordering | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-08-30
PH.2410 | Product Procurement Supply Storage and Inventory | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-10-24
PH.2411 | Prescription Pricing | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-10-12
PH.2412 | Down Time Procedures | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-10-25
PH.2413 | Docementation of Receipt of Medication by Patient | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-08-30
PH.2414 | Patient Counseling | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-08-30
PH.2417 | Central Fill Pharmacy | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-09-05
PH.2418 | Clinical Research  | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-10-24
PH.2419 | Delegation Program | Retail Pharmacy_Community Pharmacy | Operational | Thomas Greene | Sr. Director of Pharmacy | 2024-09-05
