Sheet: Sheet1
Administration | Kimberly Macnaik | 1 | Public restrooms, 1st Floor Elevator D | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Administration | Kimberly Macnaik | 1 | Stairwell by Elevator D | Cleanliness                                                                        Nothing stored under stairs | nan | nan | nan
Pastoral Care | Lucia Hamilton | 1 | Public restrooms by Chapel | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Pastoral Care | Lucia Hamilton | 1 | Stairwells by Elevator E (1st to 2nd floor) | Cleanliness                                                                        Nothing stored under stairs | nan | nan | nan
PBX Communication | Jackie Green | 1 | Public restrooms by cafeteria | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Guest Services | Tiffany Quillen | 1 | Main Entrance | Cleanliness, lights working              | nan | nan | nan
Guest Services | Tiffany Quillen | 1 | Stairwell by Main Info Desk (1st to 2nd floor) | Cleanliness                                                                        Nothing stored under stairs | nan | nan | nan
Guest Services | Tiffany Quillen | 1 | Public restrooms by Food Court | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Guest Services | Tiffany Quillen | 1 | Public restrooms by GME Auditorium | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Guest Services | Tiffany Quillen | 1 | Stairwells by Elevator B (1st to 2nd floor) | Cleanliness, Nothing stored understairs | nan | nan | nan
Guest Services | Tiffany Quillen | 2 | Public restrooms HVI Waiting Room | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Guest Services | Tiffany Quillen | 2 | Public restrooms Tower Waiting Room | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Guest Services | Tiffany Quillen | 3 to 8 | Public restrooms, Vending, Family Waiting Roomsin HVI | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Guest Services | Tiffany Quillen | 2 | Public restrooms Critical Care Waiting Room | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Guest Services | Tiffany Quillen | 2 | Public restrooms Plaza 1 by Main Waiting Room | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Security | James Lewis | all | All call to patrols to check general cleanliness in assigned areas | Cleanliness, lights working                 | nan | nan | nan
Plant Services | Paul Woodard | all | Garage 2 elevators and stairs, skybridge | Cleanliness                                                                        Nothing stored under stairs                                             Lighting | nan | nan | nan
Plant Services | Paul Woodard | all | Construction areas that interact with hospital | Construction Zone signage                                   No foot tracks                                                        Inactive areas secured | nan | nan | nan
HIM | Rachelle Arabie-Wells | 1 | Elevator C landing, stairwell by elevator C | Cleanliness                                                                        Nothing stored under stairs | nan | nan | nan
Employee Health | Raderisha Hunt | 1 | Public restrooms by Auditorium A & B | Cleanliness (trash, spills, counters)                                                                        Supplies  stocked                                                      Lighting | nan | nan | nan
Materials Management | TBD | 1 | Receiving Dock | Cleanliness (trash, spills)                                                                                                  Lighting                                                                    Oxygen secured                                                                  Hazardous Waste secured | nan | nan | nan
Sheet: Sheet2
Sheet: Sheet3
